gain,respons_time
79.000000,306.938000
79.000000,314.756000
79.000000,272.748000
79.000000,295.159000
79.000000,321.894000
79.000000,289.592000
79.000000,308.202000
79.000000,279.585000
79.000000,282.095000
79.000000,325.677000
79.000000,326.172000
79.000000,310.276000
79.000000,285.728000
79.000000,281.402000
79.000000,273.103000
79.000000,319.868000
79.000000,276.342000
79.000000,320.701000
80.000000,104.117000
80.000000,100.871000
80.000000,111.219000
80.000000,100.440000
80.000000,100.073000
80.000000,99.570000
80.000000,99.731000
80.000000,111.867000
80.000000,112.162000
80.000000,110.321000
80.000000,103.573000
80.000000,103.268000
80.000000,101.391000
80.000000,100.766000
80.000000,111.880000
80.000000,100.484000
80.000000,102.155000
80.000000,111.695000
80.000000,107.722000
80.000000,104.057000
80.000000,110.639000
80.000000,110.627000
80.000000,101.596000
80.000000,100.948000
80.000000,110.796000
80.000000,100.863000
80.000000,111.989000
80.000000,107.694000
80.000000,99.203000
80.000000,99.425000
80.000000,109.234000
80.000000,101.640000
80.000000,100.327000
80.000000,110.732000
80.000000,101.160000
80.000000,101.402000
80.000000,113.254000
80.000000,99.956000
80.000000,100.028000
80.000000,108.230000
80.000000,104.948000
80.000000,112.661000
80.000000,106.155000
80.000000,107.167000
80.000000,100.331000
80.000000,99.860000
80.000000,105.096000
80.000000,100.190000
80.000000,99.928000
80.000000,99.203000
81.000000,67.851000
81.000000,67.859000
81.000000,68.085000
81.000000,70.111000
81.000000,67.767000
81.000000,67.888000
81.000000,70.163000
81.000000,68.730000
81.000000,70.345000
81.000000,68.190000
81.000000,70.912000
81.000000,67.504000
81.000000,70.313000
81.000000,68.085000
81.000000,67.755000
81.000000,77.012000
81.000000,67.976000
81.000000,70.100000
81.000000,69.414000
81.000000,71.239000
81.000000,69.918000
81.000000,67.854000
81.000000,68.592000
81.000000,68.395000
81.000000,70.929000
81.000000,67.916000
81.000000,68.202000
81.000000,69.414000
81.000000,68.182000
81.000000,67.843000
81.000000,69.462000
81.000000,69.709000
81.000000,67.504000
81.000000,70.422000
81.000000,70.470000
81.000000,68.930000
81.000000,69.744000
81.000000,68.677000
81.000000,69.233000
81.000000,70.877000
81.000000,68.270000
81.000000,70.068000
81.000000,70.405000
81.000000,69.499000
81.000000,68.934000
81.000000,67.839000
81.000000,69.229000
81.000000,70.831000
81.000000,70.787000
81.000000,68.025000
82.000000,53.588000
82.000000,53.313000
82.000000,53.458000
82.000000,53.616000
82.000000,52.871000
82.000000,53.543000
82.000000,53.788000
82.000000,52.919000
82.000000,53.373000
82.000000,53.349000
82.000000,52.979000
82.000000,53.051000
82.000000,54.139000
82.000000,52.797000
82.000000,52.661000
82.000000,52.919000
82.000000,53.269000
82.000000,52.943000
82.000000,53.531000
82.000000,53.189000
82.000000,53.330000
82.000000,53.567000
82.000000,53.205000
82.000000,53.213000
82.000000,53.149000
82.000000,53.337000
82.000000,53.434000
82.000000,53.059000
82.000000,53.535000
82.000000,53.555000
82.000000,53.063000
82.000000,53.193000
82.000000,53.664000
82.000000,53.269000
82.000000,53.160000
82.000000,52.987000
82.000000,53.732000
82.000000,52.931000
82.000000,59.650000
82.000000,52.838000
82.000000,53.200000
82.000000,53.405000
82.000000,53.265000
82.000000,53.091000
82.000000,53.648000
82.000000,53.405000
82.000000,53.322000
82.000000,53.418000
82.000000,52.962000
82.000000,53.116000
83.000000,42.892000
83.000000,40.286000
83.000000,43.122000
83.000000,42.232000
83.000000,40.910000
83.000000,40.636000
83.000000,42.719000
83.000000,40.644000
83.000000,41.760000
83.000000,40.794000
83.000000,43.642000
83.000000,42.521000
83.000000,40.746000
83.000000,40.926000
83.000000,42.168000
83.000000,43.456000
83.000000,40.926000
83.000000,43.343000
83.000000,40.753000
83.000000,43.360000
83.000000,40.741000
83.000000,41.672000
83.000000,43.339000
83.000000,40.942000
83.000000,43.231000
83.000000,42.868000
83.000000,48.322000
83.000000,43.586000
83.000000,41.201000
83.000000,43.791000
83.000000,41.579000
83.000000,40.995000
83.000000,41.571000
83.000000,40.492000
83.000000,42.127000
83.000000,41.695000
83.000000,48.330000
83.000000,43.363000
83.000000,49.023000
83.000000,40.535000
83.000000,40.523000
83.000000,41.735000
83.000000,40.503000
83.000000,43.150000
83.000000,41.345000
83.000000,42.993000
83.000000,40.568000
83.000000,42.844000
83.000000,40.870000
83.000000,43.239000
84.000000,26.990000
84.000000,25.214000
84.000000,24.384000
84.000000,26.632000
84.000000,27.059000
84.000000,24.965000
84.000000,24.304000
84.000000,25.678000
84.000000,25.420000
84.000000,26.096000
84.000000,24.195000
84.000000,25.432000
84.000000,24.433000
84.000000,26.523000
84.000000,24.158000
