gain,respons_time
82.000000,27.368000
82.000000,53.640000
82.000000,47.246000
82.000000,19.034000
82.000000,34.861000
82.000000,34.276000
82.000000,24.573000
82.000000,3.675000
82.000000,34.389000
82.000000,84.055000
82.000000,5.559000
82.000000,24.919000
82.000000,21.881000
82.000000,67.021000
82.000000,39.892000
82.000000,48.318000
82.000000,19.666000
82.000000,36.218000
82.000000,44.306000
82.000000,33.081000
82.000000,23.900000
82.000000,25.105000
82.000000,30.156000
82.000000,20.178000
82.000000,29.753000
82.000000,47.589000
82.000000,5.628000
82.000000,32.488000
82.000000,23.259000
82.000000,31.973000
82.000000,66.135000
82.000000,43.030000
82.000000,22.988000
82.000000,23.323000
82.000000,21.310000
82.000000,16.049000
82.000000,36.798000
82.000000,27.082000
82.000000,30.056000
82.000000,31.529000
82.000000,19.271000
82.000000,23.955000
82.000000,21.048000
83.000000,75.483000
83.000000,5.422000
83.000000,48.982000
83.000000,42.444000
83.000000,48.439000
83.000000,29.764000
83.000000,16.535000
83.000000,36.530000
83.000000,8.197000
83.000000,12.426000
83.000000,36.824000
83.000000,8.901000
83.000000,18.552000
83.000000,37.646000
83.000000,33.211000
83.000000,34.203000
83.000000,23.553000
83.000000,43.604000
83.000000,53.151000
83.000000,26.992000
83.000000,74.991000
83.000000,6.203000
83.000000,21.284000
83.000000,4.257000
83.000000,21.453000
83.000000,13.619000
83.000000,23.911000
83.000000,19.741000
83.000000,48.821000
83.000000,18.540000
83.000000,29.015000
83.000000,22.279000
83.000000,38.999000
83.000000,29.401000
83.000000,7.000000
83.000000,18.714000
83.000000,15.943000
83.000000,8.309000
83.000000,8.684000
83.000000,13.714000
83.000000,25.151000
83.000000,22.899000
83.000000,62.137000
83.000000,42.956000
83.000000,77.030000
83.000000,14.988000
83.000000,23.636000
83.000000,5.200000
83.000000,10.279000
83.000000,27.314000
84.000000,22.255000
84.000000,10.333000
84.000000,13.749000
84.000000,4.158000
84.000000,4.725000
84.000000,21.841000
84.000000,13.877000
84.000000,5.268000
84.000000,45.437000
84.000000,8.023000
84.000000,56.051000
84.000000,9.776000
84.000000,17.454000
84.000000,11.336000
84.000000,21.736000
84.000000,50.569000
84.000000,29.865000
84.000000,36.914000
84.000000,21.039000
84.000000,24.205000
84.000000,9.330000
84.000000,30.517000
84.000000,3.730000
84.000000,11.582000
84.000000,4.781000
84.000000,17.975000
84.000000,23.193000
84.000000,33.313000
84.000000,27.935000
84.000000,6.038000
84.000000,8.112000
84.000000,15.316000
84.000000,6.699000
84.000000,6.389000
84.000000,24.395000
84.000000,20.641000
84.000000,4.459000
84.000000,33.568000
84.000000,31.564000
84.000000,7.371000
84.000000,22.071000
84.000000,22.038000
84.000000,36.571000
84.000000,27.638000
84.000000,16.339000
84.000000,9.930000
84.000000,23.633000
84.000000,9.398000
84.000000,17.732000
84.000000,6.442000
85.000000,3.729000
85.000000,22.772000
85.000000,22.719000
85.000000,14.779000
85.000000,25.852000
85.000000,14.843000
85.000000,7.182000
85.000000,21.628000
85.000000,10.122000
85.000000,32.185000
85.000000,10.538000
85.000000,15.089000
85.000000,18.400000
85.000000,12.387000
85.000000,15.327000
85.000000,10.655000
85.000000,20.841000
85.000000,4.132000
85.000000,32.480000
85.000000,5.599000
85.000000,15.867000
85.000000,20.829000
85.000000,20.398000
85.000000,7.238000
85.000000,23.238000
85.000000,16.641000
85.000000,16.781000
85.000000,38.655000
85.000000,22.106000
85.000000,4.535000
85.000000,9.466000
85.000000,11.936000
85.000000,4.902000
85.000000,6.175000
85.000000,7.533000
85.000000,5.848000
85.000000,5.546000
85.000000,21.514000
85.000000,18.666000
85.000000,8.157000
85.000000,18.026000
85.000000,25.361000
85.000000,6.017000
85.000000,3.004000
85.000000,30.622000
85.000000,12.605000
85.000000,38.973000
85.000000,14.887000
85.000000,14.481000
85.000000,6.843000
